skc,year_id,season_id,tiny_class_code,tag_price
696572115379,2017,None,27050401,73.75
696572117667,2017,None,27050401,223.75
496572117700,2017,None,27050401,248.75
390572118052,2017,None,27050401,223.75
596572118162,2017,None,27050401,98.75
102572118283,2017,None,27050401,98.75
100572118316,2017,None,27050401,98.75
496572118514,2018,None,27050401,123.75
902572118613,2018,None,27050401,123.75
596572118723,2018,None,27050401,98.75
396572118745,2018,None,27050401,123.75
690572118833,2018,None,27050401,223.75
790572118833,2018,None,27050401,173.75
896572118954,2018,None,27050401,123.75
702572225797,2017,None,27060804,73.75
996572333025,2017,None,27071209,123.75
499572333179,2017,None,27071209,98.75
496572333586,2018,None,27071209,123.75
602572551672,2017,None,27092025,198.75
296572551749,2018,None,27092025,98.75
608572774763,2017,None,27112849,73.75
302572775577,2018,None,27112849,73.75
102573321111,2017,None,27164944,73.75
496573321265,2018,None,27164944,123.75
802573650495,2017,None,27196225,248.75
702573650594,2017,None,27196225,123.75
796573650638,2017,None,27196225,173.75
102573650748,2018,None,27196225,173.75
502573650759,2018,None,27196225,123.75
696573650781,2018,None,27196225,161.25
402573650792,2018,None,27196225,161.25
802573650803,2018,None,27196225,248.75
596573650847,2018,None,27196225,123.75
396573870484,2017,None,27217089,173.75
996573870572,2017,None,27217089,198.75
396573870660,2017,None,27217089,198.75
896573870660,2017,None,27217089,161.25
702573870715,2017,None,27217089,161.25
802573870715,2017,None,27217089,161.25
196573870759,2018,None,27217089,123.75
702573870858,2018,None,27217089,161.25
